WinningNumber1,WinningNumber2,WinningNumber3,WinningNumber4,WinningNumber5,WinningNumber6,DrawDate
34,35,24,20,36,39,2023-08-05
21,16,14,29,6,22,2023-08-02
25,33,6,42,40,35,2023-08-01
21,13,8,28,12,41,2023-07-29
19,29,12,5,13,34,2023-07-27
7,12,13,37,36,29,2023-07-25
14,27,19,26,8,38,2023-07-22
14,21,8,36,23,10,2023-06-20
10,8,21,13,35,26,2023-06-17
2,29,10,27,26,14,2023-06-15
36,16,8,32,9,40,2023-06-13
12,37,38,19,39,21,2023-06-10
6,11,36,41,40,7,2023-06-08
24,30,25,3,15,4,2023-06-06
10,3,12,20,7,28,2023-06-03
26,6,37,29,23,40,2023-06-01
39,15,8,7,19,27,2023-05-30
23,38,37,34,5,21,2023-05-27
35,15,41,18,37,21,2023-05-25
41,16,36,22,24,37,2023-05-23
21,39,22,18,2,36,2023-05-20
15,5,41,21,1,27,2023-05-18
25,41,28,4,9,1,2023-05-16
13,22,2,33,38,9,2023-05-13
36,7,19,26,8,1,2023-05-11
23,19,24,11,31,41,2023-05-09
26,2,24,35,4,28,2023-05-06
6,1,4,11,19,22,2023-05-04
11,42,28,6,8,32,2023-05-02
31,27,24,20,8,13,2023-04-29
42,11,35,36,38,9,2023-04-27
40,16,24,3,2,5,2023-04-25
18,40,3,15,24,27,2023-04-22
35,39,16,1,34,17,2023-04-20
42,21,1,36,23,37,2023-04-18
23,19,24,42,13,16,2023-04-15
42,30,5,19,4,37,2023-04-13
24,34,7,16,31,33,2023-04-11
42,4,33,37,16,36,2023-04-04
25,3,40,13,10,31,2023-04-01
13,38,37,22,20,42,2023-03-30
5,35,42,2,22,20,2023-03-28
20,33,17,39,34,7,2023-03-25
33,16,5,22,15,37,2023-03-23
3,2,13,19,23,24,2023-03-21
37,34,35,13,8,12,2023-03-18
15,18,21,17,34,35,2023-03-16
30,38,2,36,29,13,2023-03-14
3,9,12,33,22,18,2023-03-11
6,18,26,29,17,11,2023-03-09
34,42,3,7,16,5,2023-03-07
3,6,26,37,35,18,2023-03-04
21,9,23,28,19,36,2023-03-02
26,14,11,8,7,22,2023-02-28
37,32,28,9,34,19,2023-02-25
26,2,20,41,21,40,2023-02-23
36,16,39,30,41,3,2023-02-21
20,25,21,33,39,36,2023-02-18
42,31,38,35,2,27,2023-02-16
26,16,13,10,39,19,2023-02-14
1,35,21,39,34,19,2023-02-11
21,18,28,20,26,17,2023-02-09
30,21,14,27,22,42,2023-02-07
24,30,1,27,4,23,2023-02-04
2,27,16,29,4,19,2023-02-02
31,41,29,25,20,8,2023-01-31
14,1,26,37,20,23,2023-01-28
5,12,18,24,4,17,2023-01-26
14,40,30,35,42,3,2023-01-24
15,19,25,9,32,11,2023-01-21
23,5,29,1,31,11,2023-01-19
34,24,2,6,33,7,2023-01-17
41,12,31,37,34,5,2023-01-14
7,42,20,5,33,31,2023-01-12
16,8,1,29,4,26,2023-01-10
18,13,39,35,6,5,2023-01-07
36,37,32,15,39,9,2023-01-05
40,25,28,13,36,39,2023-01-03
1,21,27,3,7,17,2022-12-31
27,5,26,31,19,9,2022-12-29
37,16,26,3,42,10,2022-12-27
42,17,4,40,8,9,2022-12-24
8,41,33,16,5,19,2022-12-22
42,13,9,15,24,32,2022-12-20
3,17,38,23,41,4,2022-12-17
18,28,1,27,21,29,2022-12-15
3,33,34,2,30,31,2022-12-13
15,7,28,16,13,4,2022-12-10
11,39,10,9,22,29,2022-12-08
8,19,29,25,2,41,2022-12-06
19,32,22,34,10,9,2022-12-03
24,3,18,20,28,4,2022-12-01
15,37,19,38,16,18,2022-11-29
14,42,28,20,37,26,2022-11-26
40,36,30,33,27,25,2022-11-24
5,26,32,8,13,9,2022-11-22
34,14,29,19,28,36,2022-11-19
1,33,3,37,2,13,2022-11-17
4,28,36,16,40,13,2022-11-15
2,1,25,32,16,30,2022-11-12
32,31,15,41,17,40,2022-11-10
9,6,29,7,5,19,2022-11-08
31,32,8,25,29,14,2022-11-05
10,21,28,33,13,5,2022-11-03
7,36,9,37,39,8,2022-11-01
23,13,31,37,2,25,2022-10-29
1,3,9,24,19,40,2022-10-27
28,10,30,8,1,16,2022-10-25
34,20,31,39,22,3,2022-10-22
33,1,2,22,19,25,2022-10-20
42,35,4,27,5,37,2022-10-18
31,20,17,19,9,29,2022-10-15
20,39,6,19,35,31,2022-10-13
2,8,23,40,21,6,2022-10-11
39,42,23,33,32,12,2022-10-08
10,9,14,16,28,39,2022-10-06
40,38,35,32,29,6,2022-10-04
37,42,14,9,13,4,2022-10-01
26,40,37,38,34,17,2022-09-29
32,22,19,20,11,27,2022-09-27
14,5,27,15,24,13,2022-09-24
17,23,35,18,24,19,2022-09-22
31,27,17,21,18,9,2022-09-20
10,9,3,30,38,32,2022-09-17
32,23,41,4,25,21,2022-09-15
40,15,35,20,28,23,2022-09-13
31,11,2,23,19,34,2022-09-10
27,41,31,35,33,36,2022-09-08
4,36,13,42,30,21,2022-09-06
40,42,3,41,19,14,2022-09-03
15,36,7,10,18,6,2022-09-01
27,33,22,11,25,38,2022-08-30
21,25,33,32,18,23,2022-08-27
1,42,40,20,25,16,2022-08-25
36,14,28,12,23,33,2022-08-23
35,1,34,18,28,31,2022-08-20
25,33,12,7,5,18,2022-08-18
13,19,12,5,8,25,2022-08-16
26,12,20,24,39,41,2022-08-13
42,18,26,35,2,19,2022-08-11
42,19,15,40,3,33,2022-08-09
4,31,37,20,5,39,2022-08-06
29,32,12,23,1,21,2022-08-04
1,14,26,29,27,18,2022-08-02
14,33,32,11,12,15,2022-07-30
37,22,25,8,26,15,2022-07-28
24,30,32,37,2,5,2022-07-26
17,11,23,21,5,25,2022-07-23
40,19,16,7,10,21,2022-07-21
7,18,12,17,6,14,2022-06-21
8,15,11,23,36,33,2022-06-18
33,31,13,41,25,18,2022-06-16
42,38,21,6,1,41,2022-06-14
2,20,34,40,27,22,2022-06-11
39,33,18,1,24,36,2022-06-09
22,9,38,36,42,13,2022-06-07
24,35,4,7,22,2,2022-06-04
28,36,14,37,13,3,2022-06-02
25,20,29,7,21,2,2022-05-31
9,17,23,11,13,30,2022-05-28
34,41,4,29,19,18,2022-05-26
13,29,26,11,12,34,2022-05-24
37,34,32,35,8,36,2022-05-21
24,40,18,3,8,34,2022-05-19
13,8,15,33,37,22,2022-05-17
19,25,18,33,10,31,2022-05-14
15,20,33,37,10,2,2022-05-12
7,13,18,2,28,37,2022-05-10
14,24,8,16,22,37,2022-05-07
19,7,4,41,23,9,2022-05-05
7,22,19,20,40,10,2022-05-03
17,25,21,33,39,4,2022-04-30
39,24,33,6,42,25,2022-04-28
18,15,17,24,33,10,2022-04-26
21,37,28,22,39,2,2022-04-23
29,35,12,36,7,3,2022-04-21
10,11,8,30,29,26,2022-04-19
4,26,28,2,5,3,2022-04-12
16,27,9,31,7,14,2022-04-09
42,36,27,25,33,22,2022-04-07
31,22,37,4,34,5,2022-04-05
16,38,19,18,25,34,2022-04-02
27,17,19,16,33,36,2022-03-31
35,37,8,26,4,20,2022-03-29
25,41,35,39,14,26,2022-03-26
30,42,23,36,37,7,2022-03-24
34,36,7,41,40,17,2022-03-22
